"estimated_load","latitude","longitude","route_number","speed","vehicle_number","event_timestamp"
,"45.419468","-122.633055",,"34","3110","1492200137"
"23","45.520108","-122.676571","15",,"3038","1492200137"
,"45.410765","-122.620737",,"27","3538","1492200138"
"78","45.500527","-122.83307","100",,"304","1492200139"
,"45.51208","-122.618297",,"16","2505","1492200140"
,,,,,"3547","1492200141"
,"45.418785","-122.632948",,"34","3110","1492200142"
,"45.590088","-122.75456",,"1","3547","1492200142"
,"45.41112","-122.621108",,"21","3538","1492200143"
,"45.512083","-122.618808",,"18","2505","1492200145"
"18","45.418785","-122.632947","33",,"3110","1492200146"
,"45.41812","-122.632837",,"33","3110","1492200147"
,"45.590003","-122.75419",,"13","3547","1492200147"
,"45.411315","-122.62132",,"12","3538","1492200148"
,"45.512087","-122.619328",,"18","2505","1492200150"
"3","45.411315","-122.621319","32",,"3538","1492200151"
,"45.589887","-122.753797",,"18","3547","1492200151"
,"45.417482","-122.632675",,"32","3110","1492200152"
,,,,,"3538","1492200152"
,"45.411618","-122.621655",,"20","3538","1492200153"
,"45.51209","-122.61981",,"17","2505","1492200155"
,"45.589762","-122.753363",,"16","3547","1492200156"
,"45.416893","-122.632462",,"30","3110","1492200157"
,"45.412055","-122.622143",,"28","3538","1492200158"
"13","45.512095","-122.620262","14","16","2505","1492200160"
,,,,,"2505","1492200161"
,"45.41643","-122.632243",,"23","3110","1492200162"
,"45.58962","-122.752907",,"15","3547","1492200162"
,"45.412538","-122.62269",,"30","3538","1492200163"
,"45.511237","-122.777992",,"10","3540","1492200164"
,"45.512093","-122.620753",,"17","2505","1492200165"
,"45.589475","-122.752445",,"22","3547","1492200166"
,"45.416155","-122.632085",,"14","3110","1492200167"
,"45.413047","-122.623237",,"31","3538","1492200168"
,"45.511","-122.777795",,"14","3540","1492200169"
,,,,,"304","1492200169"
,"45.512098","-122.621257",,"17","2505","1492200170"
,,,,,"304","1492200170"
,"45.58932","-122.751995",,"17","3547","1492200171"
,"45.416052","-122.632018",,"5","3110","1492200172"
,"45.413557","-122.623797",,"32","3538","1492200173"
,"45.510753","-122.77753",,"15","3540","1492200174"
,"45.41605","-122.632017",,"0","3110","1492200174"
,"45.512117","-122.621743",,"17","2505","1492200175"
,"45.58922","-122.751728",,"9","3547","1492200176"
,,,,,"3038","1492200177"
,,,,,"3239","1492200177"
,"45.41407","-122.624368",,"32","3538","1492200178"
,,,,,"3038","1492200178"
,,,,,"3239","1492200178"
,"45.510627","-122.777117",,"16","3540","1492200179"
"3","45.41407","-122.624367","32",,"3538","1492200179"
,"45.512127","-122.622223",,"16","2505","1492200180"
,,,,,"3538","1492200180"
,"45.520135","-122.676727",,"1","3038","1492200180"
"4","45.589147","-122.751521","75",,"3547","1492200180"
,"45.415928","-122.631937",,"8","3110","1492200182"
,"45.414588","-122.624942",,"33","3538","1492200183"
,"45.510563","-122.776822",,"10","3540","1492200184"
,"45.552375","-122.57866",,"11","3239","1492200184"
,"45.512125","-122.622552",,"10","2505","1492200185"
